[2017-09-15 09:15:22] Shadowsocks started
[2017-09-15 09:16:37] Shadowsocks started
[2017-09-15 09:16:49] Detected: PAC file 'pac.txt' was created.
[2017-09-15 09:16:50] Detected: PAC file 'pac.txt' was changed.
[2017-09-15 09:17:24] Shadowsocks started
[2017-09-15 09:25:39] Shadowsocks started
[2017-09-15 09:26:01] Shadowsocks started
[2017-09-15 09:29:45] Shadowsocks started
[2017-09-15 09:30:04] Shadowsocks started
[2017-09-15 09:30:08] Shadowsocks started
[2017-09-15 09:34:14] Shadowsocks started
[2017-09-15 09:34:19] Shadowsocks started
[2017-09-15 09:34:23] Shadowsocks started
[2017-09-15 12:48:04] Shadowsocks started
[2017-09-22 01:32:53] 47.89.252.213:8388 timed out
[2017-09-22 01:33:35] 47.89.252.213:8388 timed out
[2017-09-22 01:34:45] 47.89.252.213:8388 timed out
[2017-09-22 01:34:46] 47.89.252.213:8388 timed out
[2017-09-22 02:10:39] 47.89.252.213:8388 timed out
[2017-09-22 02:10:58] 47.89.252.213:8388 timed out
[2017-09-22 02:11:38] 47.89.252.213:8388 timed out
[2017-09-22 02:47:15] 47.89.252.213:8388 timed out
[2017-09-22 02:47:30] 47.89.252.213:8388 timed out
[2017-09-22 02:48:45] 47.89.252.213:8388 timed out
[2017-09-22 02:49:15] 47.89.252.213:8388 timed out
[2017-09-22 02:49:21] 47.89.252.213:8388 timed out
[2017-09-22 02:49:30] 47.89.252.213:8388 timed out
[2017-09-22 02:50:10] 47.89.252.213:8388 timed out
[2017-09-22 03:10:39] 47.89.252.213:8388 timed out
[2017-09-22 03:10:54] 47.89.252.213:8388 timed out
[2017-09-22 03:11:09] 47.89.252.213:8388 timed out
[2017-09-22 03:11:18] 47.89.252.213:8388 timed out
[2017-09-22 03:11:20] 47.89.252.213:8388 timed out
[2017-09-22 03:11:24] 47.89.252.213:8388 timed out
[2017-09-22 03:11:28] 47.89.252.213:8388 timed out
[2017-09-22 03:11:33] 47.89.252.213:8388 timed out
[2017-09-22 03:11:35] 47.89.252.213:8388 timed out
[2017-09-22 03:11:39] 47.89.252.213:8388 timed out
[2017-09-22 03:11:43] 47.89.252.213:8388 timed out
[2017-09-22 03:11:50] 47.89.252.213:8388 timed out
[2017-09-22 03:11:52] 47.89.252.213:8388 timed out
[2017-09-22 03:12:14] 47.89.252.213:8388 timed out
[2017-09-22 03:12:53] 47.89.252.213:8388 timed out
[2017-09-22 03:13:01] 47.89.252.213:8388 timed out
[2017-09-22 03:13:08] 47.89.252.213:8388 timed out
[2017-09-22 03:13:24] 47.89.252.213:8388 timed out
[2017-09-22 03:13:39] 47.89.252.213:8388 timed out
[2017-09-22 03:14:59] 47.89.252.213:8388 timed out
[2017-09-22 03:15:10] 47.89.252.213:8388 timed out
[2017-09-22 03:23:49] 47.89.252.213:8388 timed out
[2017-09-22 03:40:08] 47.89.252.213:8388 timed out
[2017-09-22 03:56:55] 47.89.252.213:8388 timed out
[2017-09-22 04:01:31] 47.89.252.213:8388 timed out
[2017-09-22 04:05:11] 47.89.252.213:8388 timed out
[2017-09-22 04:05:12] 47.89.252.213:8388 timed out
[2017-09-22 04:06:09] 47.89.252.213:8388 timed out
[2017-09-22 04:12:30] 47.89.252.213:8388 timed out
[2017-09-22 08:43:18] 47.89.252.213:8388 timed out
[2017-09-22 08:43:57] 47.89.252.213:8388 timed out
[2017-09-22 08:44:03] 47.89.252.213:8388 timed out
[2017-09-22 08:45:14] 47.89.252.213:8388 timed out
[2017-09-22 11:47:39] 47.89.252.213:8388 timed out
[2017-09-22 11:47:58] 47.89.252.213:8388 timed out
[2017-09-23 11:57:11] Shadowsocks started
[2017-09-25 15:01:38] Shadowsocks started
[2017-09-25 18:00:43] 47.89.252.213:8388 timed out
[2017-09-25 19:29:37] 47.89.252.213:8388 timed out
[2017-09-25 19:34:53] 47.89.252.213:8388 timed out
[2017-09-30 15:07:59] Shadowsocks started
[2017-10-03 10:54:44] Shadowsocks started
[2017-10-03 14:30:09] Shadowsocks started
[2017-10-04 11:31:03] Shadowsocks started
[2017-10-04 11:47:11] 47.89.252.213:8388 timed out
